COUNTY,College Degree,Labor Force,Foreigners,Females,Income,Poverty,Rural,Black or African American,Latinx,AAPI,Never Married,65+,Prob Dem
Spotsylvania County,28052.0,70283.0,9013.0,67547.0,37212.0,9198.0,39568.0,22933.0,16654.0,12299.0,14251.0,19640.0,1.0
Stafford County,37498.0,78542.0,14334.0,72706.0,42126.0,6315.0,25476.0,30400.0,23646.0,15924.0,15234.0,14938.0,1.0
Staunton city,5890.0,12579.0,909.0,13261.0,30166.0,2565.0,877.0,2935.0,1088.0,801.0,5012.0,8990.0,1.0
Suffolk city,17973.0,47232.0,3163.0,46395.0,34940.0,9267.0,18298.0,39701.0,4252.0,3427.0,12254.0,16995.0,0.0
Surry County,1021.0,3348.0,71.0,3369.0,30260.0,1033.0,7058.0,2694.0,149.0,78.0,1256.0,2082.0,1.0
Sussex County,1069.0,4488.0,263.0,4566.0,21652.0,1187.0,12087.0,5781.0,306.0,116.0,3173.0,3427.0,0.0
Tazewell County,4550.0,16222.0,371.0,20956.0,23738.0,7004.0,23390.0,967.0,507.0,423.0,6888.0,14679.0,1.0
Virginia Beach city,110580.0,255544.0,42391.0,228877.0,37776.0,32183.0,6721.0,85478.0,40404.0,49020.0,83592.0,82368.0,1.0
Warren County,5938.0,20620.0,1735.0,19835.0,32086.0,3835.0,18941.0,1754.0,2413.0,1509.0,5435.0,8673.0,1.0
Washington County,9095.0,25033.0,734.0,27487.0,27524.0,7598.0,39333.0,662.0,891.0,686.0,7710.0,17572.0,1.0
Waynesboro city,4159.0,10932.0,837.0,11304.0,27033.0,3659.0,531.0,2672.0,1945.0,1226.0,3342.0,7008.0,0.0
Westmoreland County,2537.0,8329.0,685.0,8958.0,32996.0,2636.0,13761.0,4491.0,1049.0,755.0,2961.0,6818.0,1.0
Williamsburg city,4222.0,6885.0,1027.0,7998.0,29758.0,2188.0,0.0,5699.0,1215.0,1121.0,3341.0,3283.0,1.0
Winchester city,6503.0,14574.0,3684.0,14203.0,30859.0,4355.0,0.0,2865.0,5494.0,4263.0,6030.0,7107.0,1.0
Wise County,4124.0,14288.0,412.0,18313.0,21500.0,7796.0,23491.0,1802.0,452.0,345.0,6862.0,11453.0,0.0
Wythe County,4027.0,14127.0,168.0,14754.0,27381.0,4230.0,22023.0,707.0,355.0,279.0,4039.0,9575.0,1.0
York County,21501.0,36101.0,5360.0,34606.0,41201.0,3273.0,3993.0,8930.0,5136.0,5919.0,8931.0,13070.0,1.0
